cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
Bell,Smooth,Yellow,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Convex,Scaly,Brown,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,Poisonous
Bell,Scaly,Yellow,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Bell,Scaly,White,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Bell,Smooth,White,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Flat,Smooth,White,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,Poisonous
Convex,Scaly,Yellow,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Scaly,White,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Flat,Fibrous,Brown,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u,Edible
Convex,Smooth,Yellow,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Bell,Smooth,Yellow,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Scaly,White,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,Poisonous
Convex,Scaly,Yellow,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Scaly,Brown,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,Edible
Bell,Scaly,Yellow,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Convex,Fibrous,Yellow,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Sunken,Fibrous,Gray,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,Edible
Convex,Scaly,Brown,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,Poisonous
Convex,Fibrous,Yellow,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Bell,Smooth,Yellow,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Bell,Scaly,Yellow,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Convex,Scaly,Yellow,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,Edible
Convex,Fibrous,Brown,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,Edible
Convex,Scaly,White,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,Poisonous
Convex,Smooth,Yellow,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Convex,Scaly,White,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Scaly,Yellow,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Convex,Smooth,White,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Scaly,Yellow,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p,Edible
Flat,Scaly,Yellow,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,Edible
Convex,Scaly,Brown,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,Edible
Convex,Smooth,White,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Bell,Smooth,White,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Scaly,Brown,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,Poisonous
Convex,Smooth,White,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,Poisonous
Bell,Scaly,Yellow,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Flat,Fibrous,Gray,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Bell,Smooth,White,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Smooth,Yellow,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Convex,Scaly,Brown,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,y,p,Edible
Sunken,Fibrous,Gray,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,Edible
Bell,Scaly,Yellow,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Bell,Smooth,Yellow,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Bell,Scaly,Yellow,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Bell,Scaly,White,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Flat,Smooth,Brown,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,Edible
Convex,Smooth,White,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Flat,Scaly,Yellow,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,Edible
Convex,Scaly,Yellow,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Convex,Fibrous,Gray,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,Edible
Flat,Fibrous,Yellow,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Bell,Scaly,White,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Flat,Fibrous,Yellow,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Convex,Scaly,Brown,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,Edible
Bell,Smooth,Yellow,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Flat,Smooth,Yellow,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Convex,Smooth,White,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,Edible
Flat,Scaly,Brown,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,Edible
Convex,Scaly,Brown,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,Poisonous
Flat,Scaly,Brown,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g,Edible
Convex,Smooth,Brown,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,Edible
Convex,Scaly,White,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,Poisonous
Flat,Fibrous,Gray,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,Edible
Convex,Fibrous,Gray,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,Edible
Convex,Scaly,Yellow,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,Edible
Convex,Smooth,Brown,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,Edible
Bell,Smooth,White,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Convex,Smooth,White,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Flat,Scaly,Brown,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,Edible
Sunken,Fibrous,Brown,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,Edible
Convex,Fibrous,Brown,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,Edible
Bell,Smooth,White,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Convex,Scaly,Yellow,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Convex,Scaly,Yellow,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Convex,Smooth,Brown,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Smooth,White,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Flat,Scaly,Brown,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,Edible
Convex,Smooth,Yellow,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Bell,Smooth,White,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Convex,Scaly,White,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Convex,Fibrous,Brown,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,Edible
Bell,Smooth,Yellow,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Flat,Scaly,Yellow,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,Edible
Convex,Scaly,Yellow,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,Edible
Bell,Scaly,White,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Scaly,Yellow,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Convex,Scaly,Yellow,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,Edible
Bell,Scaly,White,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Bell,Scaly,White,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Convex,Smooth,Yellow,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Convex,Smooth,Yellow,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Sunken,Fibrous,Gray,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,Edible
Convex,Fibrous,White,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,Edible
Convex,Smooth,Yellow,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Convex,Scaly,White,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,Poisonous
Convex,Scaly,Yellow,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,Edible
Sunken,Fibrous,Gray,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u,Edible
Convex,Scaly,Yellow,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,Edible
Convex,Smooth,Yellow,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,Edible
Sunken,Fibrous,Brown,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,Edible
Convex,Smooth,White,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,Poisonous
Convex,Scaly,White,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Flat,Scaly,Brown,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,Poisonous
Flat,Smooth,Gray,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Smooth,Yellow,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Convex,Smooth,White,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,Edible
Bell,Smooth,Yellow,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Flat,Fibrous,Gray,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Smooth,White,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Bell,Smooth,White,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Bell,Smooth,White,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Bell,Scaly,White,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Flat,Smooth,White,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,Edible
Convex,Scaly,Yellow,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Flat,Smooth,White,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Convex,Scaly,White,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,Poisonous
Flat,Fibrous,White,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Convex,Scaly,Yellow,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Convex,Smooth,Brown,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,Poisonous
Bell,Smooth,Yellow,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Scaly,Brown,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,Edible
Bell,Scaly,Yellow,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Sunken,Fibrous,Brown,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,Edible
Flat,Scaly,Brown,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,Edible
Convex,Scaly,Yellow,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Convex,Fibrous,Gray,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,Edible
Flat,Fibrous,White,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,Edible
Convex,Scaly,Yellow,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Bell,Smooth,Yellow,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Bell,Scaly,White,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Convex,Scaly,White,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Convex,Smooth,Brown,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Scaly,White,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Sunken,Fibrous,Brown,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,Edible
Convex,Smooth,White,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,Edible
Convex,Scaly,Brown,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,Edible
Bell,Scaly,Yellow,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Scaly,White,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Bell,Scaly,White,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Bell,Smooth,Yellow,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Bell,Smooth,Yellow,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Bell,Scaly,Yellow,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Convex,Fibrous,Brown,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,Edible
Flat,Scaly,Brown,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g,Edible
Convex,Scaly,White,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Flat,Scaly,Yellow,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p,Edible
Bell,Smooth,White,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Bell,Smooth,White,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Convex,Scaly,Brown,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,Edible
Bell,Smooth,White,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Convex,Fibrous,Gray,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,Edible
Bell,Smooth,Yellow,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Convex,Fibrous,Yellow,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,Edible
Bell,Scaly,Yellow,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Flat,Scaly,Yellow,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,Edible
Bell,Scaly,White,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Bell,Scaly,White,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Bell,Scaly,Yellow,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Convex,Scaly,Yellow,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Bell,Smooth,Yellow,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Scaly,White,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,Poisonous
Sunken,Fibrous,Brown,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,Edible
Flat,Fibrous,Brown,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,Edible
Convex,Smooth,Yellow,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Flat,Scaly,Brown,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,Edible
Convex,Scaly,White,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,Poisonous
Bell,Smooth,White,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Flat,Fibrous,Gray,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,Edible
Bell,Scaly,Yellow,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Scaly,Brown,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p,Edible
Convex,Fibrous,White,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,Edible
Convex,Smooth,White,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Bell,Smooth,White,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Flat,Smooth,Yellow,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Convex,Smooth,Yellow,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Flat,Fibrous,Gray,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,Edible
Bell,Smooth,Yellow,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Convex,Smooth,White,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Scaly,White,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Flat,Smooth,White,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Convex,Scaly,Yellow,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Bell,Smooth,White,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Convex,Smooth,White,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Convex,Fibrous,White,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,Edible
Flat,Scaly,Brown,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,Edible
Convex,Smooth,White,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,Poisonous
Bell,Smooth,White,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Bell,Smooth,White,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Bell,Scaly,White,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Bell,Scaly,White,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Convex,Smooth,Yellow,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Bell,Smooth,White,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Convex,Fibrous,Yellow,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Convex,Fibrous,Gray,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,Edible
Flat,Scaly,Yellow,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,Edible
Bell,Smooth,White,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Convex,Smooth,Yellow,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Convex,Scaly,Yellow,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Convex,Scaly,White,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Sunken,Fibrous,Gray,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,Edible
Convex,Smooth,White,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Smooth,White,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,Poisonous
Convex,Scaly,Yellow,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,Edible
Flat,Fibrous,White,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Convex,Scaly,White,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Bell,Scaly,White,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Convex,Smooth,White,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Smooth,Yellow,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Convex,Scaly,Brown,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,Poisonous
Bell,Smooth,Yellow,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Fibrous,Gray,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u,Edible
Convex,Scaly,White,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,Poisonous
Convex,Scaly,Yellow,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,Edible
Flat,Fibrous,Brown,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,Edible
Bell,Smooth,White,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Fibrous,White,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Convex,Scaly,White,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Bell,Scaly,Yellow,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Convex,Scaly,Yellow,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g,Edible
Flat,Scaly,Yellow,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,Edible
Flat,Scaly,Yellow,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,Edible
Convex,Smooth,White,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Convex,Smooth,White,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Smooth,White,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,Poisonous
Flat,Fibrous,White,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,Edible
Convex,Smooth,White,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Convex,Smooth,White,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,Edible
Convex,Scaly,White,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Flat,Scaly,Yellow,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,Edible
